Dataset,Task,Fold,Model,Bal Acc,Macro F1,ROC-AUC
CWRU_12k,Diagnosis,Load_3HP,TabNet,0.7260233918128655,0.659654390842723,0.9580942885398915
CWRU_12k,Diagnosis,Load_3HP,FT-Transformer,0.6144444444444445,0.5447058766626174,0.903775615955799
CWRU_12k,Diagnosis,Load_3HP,TabNet-ResNet1D,0.732280701754386,0.731587255591892,0.9444641603426221
HUST,Detection,Load_0W,Random Forest,0.6861538461538461,0.46808510638297873,0.923076923076923
HUST,Detection,Load_0W,SVM (RBF),0.5,0.0,0.46283076923076927
HUST,Detection,Load_0W,TabNet,0.8384615384615385,0.6153846153846154,0.9230153846153846
HUST,Detection,Load_0W,FT-Transformer,0.7453846153846153,0.5370370370370371,0.9230769230769231
HUST,Detection,Load_0W,TabNet-ResNet1D,0.5084615384615384,0.038461538461538464,0.9230769230769231
HUST,Detection,Load_200W,Random Forest,0.6850793650793651,0.46808510638297873,0.9206349206349206
HUST,Detection,Load_200W,SVM (RBF),0.5,0.0,0.4637460317460318
HUST,Detection,Load_200W,TabNet,0.9122222222222223,0.6621621621621622,0.9206349206349207
HUST,Detection,Load_200W,FT-Transformer,0.8701587301587301,0.6376811594202898,0.9206349206349207
HUST,Detection,Load_200W,TabNet-ResNet1D,0.6093650793650793,0.34210526315789475,0.9206349206349207
HUST,Detection,Load_400W,Random Forest,0.6762379421221865,0.45652173913043476,0.919614147909968
HUST,Detection,Load_400W,SVM (RBF),0.5,0.0,0.542540192926045
HUST,Detection,Load_400W,TabNet,0.9112218649517685,0.6621621621621622,0.9194212218649518
HUST,Detection,Load_400W,FT-Transformer,0.5671382636655948,0.24242424242424243,0.919614147909968
HUST,Detection,Load_400W,TabNet-ResNet1D,0.7433762057877813,0.5370370370370371,0.9196141479099679
HUST,Diagnosis,Load_0W,Random Forest,0.6812585034013605,0.6739603455734465,0.941563736110602
HUST,Diagnosis,Load_0W,SVM (RBF),0.6606462585034014,0.670476203757434,0.9542312944118425
HUST,Diagnosis,Load_0W,TabNet,0.7364257369614513,0.7332440286120478,0.9397394025344199
HUST,Diagnosis,Load_0W,FT-Transformer,0.5999333900226758,0.5980222301059575,0.9339832497906556
HUST,Diagnosis,Load_0W,TabNet-ResNet1D,0.6933517573696145,0.6508830400867757,0.9558109828914781
HUST,Diagnosis,Load_200W,Random Forest,0.8524621212121213,0.8512532774325137,0.9785890744128697
HUST,Diagnosis,Load_200W,SVM (RBF),0.7651623376623377,0.7689548521595106,0.9677267709257433
HUST,Diagnosis,Load_200W,TabNet,0.8237121212121212,0.7796724173859266,0.9787293095124421
HUST,Diagnosis,Load_200W,FT-Transformer,0.8143750000000001,0.7742962465206206,0.9770373605644691
HUST,Diagnosis,Load_200W,TabNet-ResNet1D,0.826875,0.7868361282220728,0.9783222582303908
HUST,Diagnosis,Load_400W,Random Forest,0.8238104838709677,0.8229445647684368,0.977379602328889
HUST,Diagnosis,Load_400W,SVM (RBF),0.7078629032258065,0.7098256886656664,0.9599281476494397
HUST,Diagnosis,Load_400W,TabNet,0.7800604838709677,0.7391372641834622,0.9708989855428989
HUST,Diagnosis,Load_400W,FT-Transformer,0.7629233870967742,0.7520962180557834,0.9702345998461741
HUST,Diagnosis,Load_400W,TabNet-ResNet1D,0.8103427419354838,0.7707694085299563,0.9747928123528764
PU,Detection,C1_1500rpm_0.7Nm_1000N,Random Forest,0.649150168815224,0.4582392776523702,0.8526102414569265
PU,Detection,C1_1500rpm_0.7Nm_1000N,SVM (RBF),0.5,0.0,0.8222887251892778
PU,Detection,C1_1500rpm_0.7Nm_1000N,TabNet,0.8505870165745857,0.6648122392211405,0.8526140781665643
PU,Detection,C1_1500rpm_0.7Nm_1000N,FT-Transformer,0.5066125690607735,0.03614457831325301,0.8516331594024963
PU,Detection,C1_1500rpm_0.7Nm_1000N,TabNet-ResNet1D,0.8526703499079189,0.6666666666666666,0.8526703499079189
PU,Detection,C2_900rpm_0.7Nm_1000N,Random Forest,0.5,0.0,0.8172487657806535
PU,Detection,C2_900rpm_0.7Nm_1000N,SVM (RBF),0.5,0.0,0.6793341431953459
PU,Detection,C2_900rpm_0.7Nm_1000N,TabNet,0.6080757833990375,0.38156209987195905,0.8250419608676057
PU,Detection,C2_900rpm_0.7Nm_1000N,FT-Transformer,0.5,0.0,0.651576511238778
PU,Detection,C2_900rpm_0.7Nm_1000N,TabNet-ResNet1D,0.5148999932655398,0.08349146110056926,0.8375479830291602
PU,Detection,C3_1500rpm_0.1Nm_1000N,Random Forest,0.5703886489821098,0.2857142857142857,0.8519432449105491
PU,Detection,C3_1500rpm_0.1Nm_1000N,SVM (RBF),0.5,0.0,0.8413299403660291
PU,Detection,C3_1500rpm_0.1Nm_1000N,TabNet,0.7771553053670573,0.6116504854368932,0.8446702138597573
PU,Detection,C3_1500rpm_0.1Nm_1000N,FT-Transformer,0.5,0.0,0.8519432449105491
PU,Detection,C3_1500rpm_0.1Nm_1000N,TabNet-ResNet1D,0.7463602714373843,0.5833333333333334,0.8519432449105491
PU,Detection,C4_1500rpm_0.7Nm_400N,Random Forest,0.6196504748378618,0.4049689440993789,0.8473766857326163
PU,Detection,C4_1500rpm_0.7Nm_400N,SVM (RBF),0.5,0.0,0.6064064953576871
PU,Detection,C4_1500rpm_0.7Nm_400N,TabNet,0.8354617607417353,0.656137832017229,0.847210473078724
PU,Detection,C4_1500rpm_0.7Nm_400N,FT-Transformer,0.5,0.0,0.8412992526251251
PU,Detection,C4_1500rpm_0.7Nm_400N,TabNet-ResNet1D,0.8352664447048659,0.6552217453505007,0.8425603992208054
PU,Diagnosis,C1_1500rpm_0.7Nm_1000N,Random Forest,0.7455450733752621,0.7421447034040438,0.9262729835453762
PU,Diagnosis,C1_1500rpm_0.7Nm_1000N,SVM (RBF),0.718182551201419,0.7294182215232671,0.9261068772630723
PU,Diagnosis,C1_1500rpm_0.7Nm_1000N,TabNet,0.7484276729559748,0.7327656477486071,0.926188092074839
PU,Diagnosis,C1_1500rpm_0.7Nm_1000N,FT-Transformer,0.7103854217061764,0.6322593504126175,0.9183875752683164
PU,Diagnosis,C1_1500rpm_0.7Nm_1000N,TabNet-ResNet1D,0.7359054991130463,0.6367563090318114,0.9259233868907051
PU,Diagnosis,C2_900rpm_0.7Nm_1000N,Random Forest,0.271953867235958,0.2040502326524107,0.7847755472783947
PU,Diagnosis,C2_900rpm_0.7Nm_1000N,SVM (RBF),0.49920169072944365,0.5264084180230455,0.7063236003389484
PU,Diagnosis,C2_900rpm_0.7Nm_1000N,TabNet,0.5814413128317384,0.5313627942102197,0.8123596494631392
PU,Diagnosis,C2_900rpm_0.7Nm_1000N,FT-Transformer,0.42549570949832366,0.3364535343493863,0.4835007132524732
PU,Diagnosis,C2_900rpm_0.7Nm_1000N,TabNet-ResNet1D,0.5494574530418773,0.5162599386602615,0.7593733002171473
PU,Diagnosis,C3_1500rpm_0.1Nm_1000N,Random Forest,0.6697725498300725,0.6675478884122935,0.9256125704114962
PU,Diagnosis,C3_1500rpm_0.1Nm_1000N,SVM (RBF),0.7016904335445945,0.6999461101107504,0.9241767604595895
PU,Diagnosis,C3_1500rpm_0.1Nm_1000N,TabNet,0.7447368421052631,0.6653003418593686,0.9259199578957676
PU,Diagnosis,C3_1500rpm_0.1Nm_1000N,FT-Transformer,0.6307144415357766,0.519517738158072,0.9005636995670108
PU,Diagnosis,C3_1500rpm_0.1Nm_1000N,TabNet-ResNet1D,0.721655701754386,0.6662616291776824,0.9216397440747086
PU,Diagnosis,C4_1500rpm_0.7Nm_400N,Random Forest,0.6775349150235405,0.6545372948259753,0.9145056115631279
PU,Diagnosis,C4_1500rpm_0.7Nm_400N,SVM (RBF),0.6772460395910991,0.6485519390989508,0.9153157199497935
PU,Diagnosis,C4_1500rpm_0.7Nm_400N,TabNet,0.7014085734571045,0.5874559412739484,0.9132017320720924
PU,Diagnosis,C4_1500rpm_0.7Nm_400N,FT-Transformer,0.6694749171786172,0.5752614875430654,0.9050566767441761
PU,Diagnosis,C4_1500rpm_0.7Nm_400N,TabNet-ResNet1D,0.6943557240823021,0.5889319285442373,0.9180123426235156
