Dataset,Task,Test Condition,Model,Bal Acc,Macro F1,ROC-AUC
CWRU_48k,Diagnosis,Load_1HP_Sev_0.007,Multi-Head DL (MLP),0.8166666666666668,0.7936147980168523,0.9725
CWRU_48k,Diagnosis,Load_1HP_Sev_0.007,Multi-Head DL (TABNET),0.9166666666666666,0.9153439153439153,1.0
CWRU_48k,Diagnosis,Load_1HP_Sev_0.014,Random Forest,0.9500000000000001,0.9497171590194845,0.0
CWRU_48k,Diagnosis,Load_1HP_Sev_0.014,SVM (RBF),0.7214285714285715,0.7212484993997599,0.0
CWRU_48k,Diagnosis,Load_1HP_Sev_0.014,Multi-Head DL (MLP),0.5499999999999999,0.4301886792452831,0.7554621848739496
CWRU_48k,Diagnosis,Load_1HP_Sev_0.014,Multi-Head DL (TABNET),0.6642857142857143,0.6582752255947498,0.9105392156862745
CWRU_48k,Diagnosis,Load_1HP_Sev_0.021,Random Forest,1.0,1.0,0.0
CWRU_48k,Diagnosis,Load_1HP_Sev_0.021,SVM (RBF),1.0,1.0,0.0
CWRU_48k,Diagnosis,Load_1HP_Sev_0.021,Multi-Head DL (MLP),0.8333333333333334,0.8222222222222223,0.9779166666666667
CWRU_48k,Diagnosis,Load_1HP_Sev_0.021,Multi-Head DL (TABNET),0.85,0.8420013166556947,0.9970833333333333
CWRU_48k,Diagnosis,Load_2HP_Sev_0.007,Random Forest,1.0,1.0,0.0
CWRU_48k,Diagnosis,Load_2HP_Sev_0.007,SVM (RBF),0.7833333333333333,0.7734344933751168,0.0
CWRU_48k,Diagnosis,Load_2HP_Sev_0.007,Multi-Head DL (MLP),0.6666666666666666,0.6555555555555556,0.7079166666666667
CWRU_48k,Diagnosis,Load_2HP_Sev_0.007,Multi-Head DL (TABNET),0.7833333333333333,0.774993174993175,0.8695833333333334
CWRU_48k,Diagnosis,Load_2HP_Sev_0.014,Random Forest,0.9500000000000001,0.9495622263914947,0.0
CWRU_48k,Diagnosis,Load_2HP_Sev_0.014,SVM (RBF),0.6166666666666667,0.38596491228070173,0.0
CWRU_48k,Diagnosis,Load_2HP_Sev_0.014,Multi-Head DL (MLP),0.48333333333333334,0.4267241379310345,0.7025
CWRU_48k,Diagnosis,Load_2HP_Sev_0.014,Multi-Head DL (TABNET),0.3833333333333333,0.30905695611577966,0.6849999999999999
CWRU_48k,Diagnosis,Load_2HP_Sev_0.021,Random Forest,1.0,1.0,0.0
CWRU_48k,Diagnosis,Load_2HP_Sev_0.021,SVM (RBF),0.9666666666666667,0.7371794871794872,0.0
