Exp Strategy,Dataset,Task,Test Condition,Model,Bal Acc,Macro F1,ROC-AUC
0_Baseline,CWRU_48k,Diagnosis,Load_3HP_Sev_0.021,MLP (TL),0.6333333333333333,0.6411862990810359,0.7575
0_Baseline,CWRU_48k,Diagnosis,Load_3HP_Sev_0.021,TABNET (TL),0.7000000000000001,0.7021072796934865,0.9979166666666667
1_Estrategia_A,CWRU_12k,Diagnosis,Load_0HP,MLP (TL),0.7637426900584796,0.6947738531370244,0.9101037527762496
1_Estrategia_A,CWRU_12k,Diagnosis,Load_0HP,TABNET (TL),0.8084064327485381,0.8043636521305353,0.9275559961896611
1_Estrategia_A,CWRU_12k,Diagnosis,Load_1HP,MLP (TL),0.7247807017543859,0.6770089349795937,0.9352456458174421
1_Estrategia_A,CWRU_12k,Diagnosis,Load_1HP,TABNET (TL),0.8472222222222222,0.8477146306719477,0.9545662979913552
1_Estrategia_A,CWRU_12k,Diagnosis,Load_2HP,MLP (TL),0.7741228070175439,0.7639477527644725,0.9051247775235189
1_Estrategia_A,CWRU_12k,Diagnosis,Load_2HP,TABNET (TL),0.7932748538011696,0.7784608105019456,0.9388982329010933
1_Estrategia_A,CWRU_12k,Diagnosis,Load_3HP,MLP (TL),0.7389619883040935,0.7089496132028276,0.90447052186626
1_Estrategia_A,CWRU_12k,Diagnosis,Load_3HP,TABNET (TL),0.7597222222222222,0.7264089346817684,0.9224156178489702
1_Estrategia_A,UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,MLP (TL),0.425,0.3547101449275362,0.7762500000000001
1_Estrategia_A,UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,TABNET (TL),0.425,0.3359173126614987,0.7773214285714285
1_Estrategia_A,UOEMD,Diagnosis,Load_Loaded_Speed_30Hz,MLP (TL),0.6,0.5078780161547564,0.9510714285714286
1_Estrategia_A,UOEMD,Diagnosis,Load_Loaded_Speed_30Hz,TABNET (TL),0.3875,0.3352272727272727,0.9016071428571429
1_Estrategia_A,UOEMD,Diagnosis,Load_Loaded_Speed_45Hz,MLP (TL),0.2375,0.11183121897407612,0.7953571428571429
1_Estrategia_A,UOEMD,Diagnosis,Load_Loaded_Speed_45Hz,TABNET (TL),0.5125,0.3991228070175439,0.965
1_Estrategia_A,UOEMD,Diagnosis,Load_Loaded_Speed_60Hz,MLP (TL),0.32499999999999996,0.2830184861434861,0.8239285714285715
1_Estrategia_A,UOEMD,Diagnosis,Load_Loaded_Speed_60Hz,TABNET (TL),0.375,0.2735690235690236,0.9108928571428572
1_Estrategia_A,UOEMD,Diagnosis,Load_Loaded_Speed_Dec_45_to_15Hz,MLP (TL),0.4625,0.41592419018889604,0.8096428571428571
1_Estrategia_A,UOEMD,Diagnosis,Load_Loaded_Speed_Dec_45_to_15Hz,TABNET (TL),0.55,0.5327826065255338,0.8117857142857143
1_Estrategia_A,UOEMD,Diagnosis,Load_Loaded_Speed_Dec_60_to_30Hz,MLP (TL),0.5,0.43476291150709756,0.8907142857142857
1_Estrategia_A,UOEMD,Diagnosis,Load_Loaded_Speed_Dec_60_to_30Hz,TABNET (TL),0.475,0.4123600985303113,0.8592857142857143
1_Estrategia_A,UOEMD,Diagnosis,Load_Loaded_Speed_Inc_15_to_45Hz,MLP (TL),0.4,0.3732978043833307,0.7855357142857142
1_Estrategia_A,UOEMD,Diagnosis,Load_Loaded_Speed_Inc_15_to_45Hz,TABNET (TL),0.48750000000000004,0.3980830572935836,0.86
1_Estrategia_A,UOEMD,Diagnosis,Load_Loaded_Speed_Inc_30_to_60Hz,MLP (TL),0.4625,0.4195509453781513,0.8280357142857143
1_Estrategia_A,UOEMD,Diagnosis,Load_Loaded_Speed_Inc_30_to_60Hz,TABNET (TL),0.42500000000000004,0.3767460317460317,0.8058928571428572
1_Estrategia_A,UOEMD,Diagnosis,Load_No_Load_Speed_15Hz,MLP (TL),0.275,0.20220588235294118,0.7371428571428572
1_Estrategia_A,UOEMD,Diagnosis,Load_No_Load_Speed_15Hz,TABNET (TL),0.5125,0.407972027972028,0.8594642857142857
1_Estrategia_A,UOEMD,Diagnosis,Load_No_Load_Speed_30Hz,MLP (TL),0.425,0.3456959706959707,0.8014285714285715
1_Estrategia_A,UOEMD,Diagnosis,Load_No_Load_Speed_30Hz,TABNET (TL),0.4375,0.3666947014297729,0.8301785714285714
1_Estrategia_A,UOEMD,Diagnosis,Load_No_Load_Speed_45Hz,MLP (TL),0.6375,0.573747680890538,0.8876785714285714
1_Estrategia_A,UOEMD,Diagnosis,Load_No_Load_Speed_45Hz,TABNET (TL),0.5,0.47115384615384615,0.9116071428571428
1_Estrategia_A,UOEMD,Diagnosis,Load_No_Load_Speed_60Hz,MLP (TL),0.48750000000000004,0.3888736263736263,0.8158928571428571
1_Estrategia_A,UOEMD,Diagnosis,Load_No_Load_Speed_60Hz,TABNET (TL),0.4125,0.33448147088736335,0.7823214285714286
1_Estrategia_A,UOEMD,Diagnosis,Load_No_Load_Speed_Dec_45_to_15Hz,MLP (TL),0.5625,0.5239128406121687,0.8080357142857143
1_Estrategia_A,UOEMD,Diagnosis,Load_No_Load_Speed_Dec_45_to_15Hz,TABNET (TL),0.6375,0.5634300384300385,0.8957142857142857
1_Estrategia_A,UOEMD,Diagnosis,Load_No_Load_Speed_Dec_60_to_30Hz,MLP (TL),0.6125,0.5668623481781376,0.8919642857142857
1_Estrategia_A,UOEMD,Diagnosis,Load_No_Load_Speed_Dec_60_to_30Hz,TABNET (TL),0.575,0.5150605898961162,0.8523214285714287
1_Estrategia_A,UOEMD,Diagnosis,Load_No_Load_Speed_Inc_15_to_45Hz,MLP (TL),0.5875,0.5539866587660706,0.8728571428571428
1_Estrategia_A,UOEMD,Diagnosis,Load_No_Load_Speed_Inc_15_to_45Hz,TABNET (TL),0.6000000000000001,0.56819868965893,0.8933928571428571
1_Estrategia_A,UOEMD,Diagnosis,Load_No_Load_Speed_Inc_30_to_60Hz,MLP (TL),0.44999999999999996,0.4322031399972577,0.8905357142857142
1_Estrategia_A,UOEMD,Diagnosis,Load_No_Load_Speed_Inc_30_to_60Hz,TABNET (TL),0.5875,0.5575830419580419,0.8671428571428571
1_Estrategia_A,HUST_Gearbox,Diagnosis,Cond_20_0,MLP (TL),0.8333333333333334,0.8222222222222223,1.0
1_Estrategia_A,HUST_Gearbox,Diagnosis,Cond_20_0,TABNET (TL),1.0,1.0,1.0
1_Estrategia_A,HUST_Gearbox,Diagnosis,Cond_20_1,MLP (TL),0.8333333333333334,0.8329156223893066,0.9550000000000001
1_Estrategia_A,HUST_Gearbox,Diagnosis,Cond_20_1,TABNET (TL),0.6666666666666666,0.5555555555555555,1.0
1_Estrategia_A,HUST_Gearbox,Diagnosis,Cond_20_2,MLP (TL),0.7999999999999999,0.7802197802197802,1.0
