Model,Bal Acc,F1 (Anomaly),ROC-AUC,Dataset,Test Condition
AE (Percentil 99),0.775,0.7096774193548387,1.0,HUST_Gearbox,Cond_L2_VS_0_40_0
AE (Mediana + 3*MAD),0.75,0.8888888888888888,1.0,HUST_Gearbox,Cond_L2_VS_0_40_0
Isolation Forest,0.825,0.7878787878787878,0.99,HUST_Gearbox,Cond_L3_VS_0_40_0
One-Class SVM,0.7,0.8695652173913043,0.995,HUST_Gearbox,Cond_L3_VS_0_40_0
AE (Média + 2σ),0.85,0.9302325581395349,0.9249999999999999,HUST_Gearbox,Cond_L3_VS_0_40_0
AE (Percentil 99),0.825,0.9047619047619048,0.9249999999999999,HUST_Gearbox,Cond_L3_VS_0_40_0
AE (Mediana + 3*MAD),0.65,0.851063829787234,0.9249999999999999,HUST_Gearbox,Cond_L3_VS_0_40_0
Isolation Forest,0.75,0.6666666666666666,1.0,HUST_Gearbox,Cond_L4_VS_0_40_0
One-Class SVM,0.55,0.8163265306122449,1.0,HUST_Gearbox,Cond_L4_VS_0_40_0
AE (Média + 2σ),0.975,0.9743589743589743,1.0,HUST_Gearbox,Cond_L4_VS_0_40_0
AE (Percentil 99),0.875,0.8571428571428571,1.0,HUST_Gearbox,Cond_L4_VS_0_40_0
AE (Mediana + 3*MAD),0.5,0.8,1.0,HUST_Gearbox,Cond_L4_VS_0_40_0
Isolation Forest,0.6357142857142857,0.42696629213483145,0.56,UOEMD,Load_Loaded_Speed_15Hz
One-Class SVM,0.5,0.9333333333333333,1.0,UOEMD,Load_Loaded_Speed_15Hz
AE (Média + 2σ),0.9357142857142857,0.9312977099236641,1.0,UOEMD,Load_Loaded_Speed_15Hz
AE (Percentil 99),0.8,0.75,1.0,UOEMD,Load_Loaded_Speed_15Hz
AE (Mediana + 3*MAD),1.0,1.0,1.0,UOEMD,Load_Loaded_Speed_15Hz
Isolation Forest,1.0,1.0,1.0,UOEMD,Load_Loaded_Speed_30Hz
One-Class SVM,1.0,1.0,1.0,UOEMD,Load_Loaded_Speed_30Hz
AE (Média + 2σ),1.0,1.0,1.0,UOEMD,Load_Loaded_Speed_30Hz
