Dataset,Task,Test Condition,Model,Bal Acc,Macro F1,ROC-AUC
HUST_Gearbox,Diagnosis,Cond_30_4,SVM (RBF),1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_30_4,Multi-Head DL (MLP),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_30_4,Multi-Head DL (TABNET),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_35_0,Random Forest,1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_35_0,SVM (RBF),0.9666666666666667,0.9665831244778612,0.0
HUST_Gearbox,Diagnosis,Cond_35_0,Multi-Head DL (MLP),0.6333333333333333,0.5380116959064327,0.5566666666666666
HUST_Gearbox,Diagnosis,Cond_35_0,Multi-Head DL (TABNET),0.7000000000000001,0.6238244514106583,1.0
HUST_Gearbox,Diagnosis,Cond_35_1,Random Forest,1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_35_1,SVM (RBF),1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_35_1,Multi-Head DL (MLP),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_35_1,Multi-Head DL (TABNET),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_35_2,Random Forest,1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_35_2,SVM (RBF),1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_35_2,Multi-Head DL (MLP),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_35_2,Multi-Head DL (TABNET),0.9666666666666667,0.9665831244778612,1.0
HUST_Gearbox,Diagnosis,Cond_35_3,Random Forest,1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_35_3,SVM (RBF),1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_35_3,Multi-Head DL (MLP),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_35_3,Multi-Head DL (TABNET),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_35_4,Random Forest,1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_35_4,SVM (RBF),0.8666666666666667,0.6875,0.0
HUST_Gearbox,Diagnosis,Cond_35_4,Multi-Head DL (MLP),0.7333333333333333,0.6933621933621934,0.9016666666666667
HUST_Gearbox,Diagnosis,Cond_35_4,Multi-Head DL (TABNET),0.7999999999999999,0.7802197802197801,0.8433333333333334
HUST_Gearbox,Diagnosis,Cond_40_0,Random Forest,1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_40_0,SVM (RBF),0.9333333333333332,0.9326599326599326,0.0
HUST_Gearbox,Diagnosis,Cond_40_0,Multi-Head DL (MLP),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_40_0,Multi-Head DL (TABNET),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_40_1,Random Forest,1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_40_1,SVM (RBF),1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_40_1,Multi-Head DL (MLP),1.0,1.0,1.0
