Dataset,Task,Test Condition,Model,Bal Acc,Macro F1,ROC-AUC
HUST_Gearbox,Detection,Cond_L3_VS_0_40_0,SVM (RBF),0.875,0.8947368421052632,0.9650000000000001
HUST_Gearbox,Detection,Cond_L3_VS_0_40_0,Hybrid DL (MLP),1.0,1.0,1.0
HUST_Gearbox,Detection,Cond_L3_VS_0_40_0,Hybrid DL (TABNET),1.0,1.0,1.0
HUST_Gearbox,Detection,Cond_L4_VS_0_40_0,Random Forest,1.0,1.0,1.0
HUST_Gearbox,Detection,Cond_L4_VS_0_40_0,SVM (RBF),1.0,1.0,1.0
HUST_Gearbox,Detection,Cond_L4_VS_0_40_0,Hybrid DL (MLP),0.75,0.8571428571428571,0.94
HUST_Gearbox,Detection,Cond_L4_VS_0_40_0,Hybrid DL (TABNET),1.0,1.0,1.0
CWRU_12k,Diagnosis,Load_0HP,Random Forest,0.8655701754385965,0.8655414075006416,0.0
CWRU_12k,Diagnosis,Load_0HP,SVM (RBF),0.6888888888888889,0.5500213793521531,0.0
CWRU_12k,Diagnosis,Load_0HP,Hybrid DL (MLP),0.8094298245614036,0.6479702540680761,0.0
CWRU_12k,Diagnosis,Load_0HP,Hybrid DL (TABNET),0.8297514619883041,0.8290193610728852,0.0
CWRU_12k,Diagnosis,Load_1HP,Random Forest,0.935891812865497,0.9358921899945419,0.0
CWRU_12k,Diagnosis,Load_1HP,SVM (RBF),0.8038011695906433,0.8030874065441824,0.0
CWRU_12k,Diagnosis,Load_1HP,Hybrid DL (MLP),0.8152777777777778,0.8146871349456443,0.0
CWRU_12k,Diagnosis,Load_1HP,Hybrid DL (TABNET),0.8105994152046783,0.8054480164680577,0.0
CWRU_12k,Diagnosis,Load_2HP,Random Forest,0.9959795321637427,0.9959794592647996,0.0
CWRU_12k,Diagnosis,Load_2HP,SVM (RBF),0.8315058479532164,0.831787172417522,0.0
CWRU_12k,Diagnosis,Load_2HP,Hybrid DL (MLP),0.8644005847953217,0.8641293588301462,0.0
CWRU_12k,Diagnosis,Load_2HP,Hybrid DL (TABNET),0.9048976608187135,0.9070695640646823,0.0
CWRU_12k,Diagnosis,Load_3HP,Random Forest,0.8560672514619883,0.8585108855160852,0.0
CWRU_12k,Diagnosis,Load_3HP,SVM (RBF),0.7693713450292398,0.6211003604574616,0.0
CWRU_12k,Diagnosis,Load_3HP,Hybrid DL (MLP),0.8244152046783626,0.8206166050366367,0.0
CWRU_12k,Diagnosis,Load_3HP,Hybrid DL (TABNET),0.7818713450292397,0.6228919631093545,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,Random Forest,0.6625,0.6001762632197415,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,SVM (RBF),0.4875,0.37525987525987525,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,Hybrid DL (MLP),0.5875,0.5218181818181818,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,Hybrid DL (TABNET),0.725,0.6487068965517242,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_30Hz,Random Forest,0.9375,0.9333333333333333,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_30Hz,SVM (RBF),0.5375000000000001,0.44481399359448137,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_30Hz,Hybrid DL (MLP),0.44999999999999996,0.4494949494949495,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_30Hz,Hybrid DL (TABNET),0.625,0.6,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_45Hz,Random Forest,1.0,1.0,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_45Hz,SVM (RBF),0.4625,0.4230769230769231,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_45Hz,Hybrid DL (MLP),0.375,0.3125,0.0
