Target Dataset,Task,Test Condition,Source Combo,Model,Bal Acc,Macro F1,ROC-AUC
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + HUST + UORED + Mechanical_Gear,Multi-Head DL (TABNET),0.5,0.4375,0.9276785714285715
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + HUST + UORED + Electric_Motor,Multi-Head DL (TABNET),0.5,0.4411483253588517,0.9080357142857143
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + HUST + Mechanical_Gear + Electric_Motor,Multi-Head DL (TABNET),0.675,0.6126923076923076,0.8794642857142858
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + PU + UORED + Mechanical_Gear,Multi-Head DL (TABNET),0.05,0.07142857142857142,0.5944642857142857
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + PU + UORED + Electric_Motor,Multi-Head DL (TABNET),0.35,0.30078659370725036,0.7185714285714286
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + PU + Mechanical_Gear + Electric_Motor,Multi-Head DL (TABNET),0.42500000000000004,0.372276688453159,0.7353571428571429
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + UORED + Mechanical_Gear + Electric_Motor,Multi-Head DL (TABNET),0.425,0.3865367965367965,0.7492857142857143
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_48k + HUST_Gearbox + HUST + PU,Multi-Head DL (TABNET),0.3875,0.2883558220889555,0.7621428571428571
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_48k + HUST_Gearbox + HUST + UORED,Multi-Head DL (TABNET),0.4,0.37006410256410255,0.8267857142857142
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_48k + HUST_Gearbox + HUST + Mechanical_Gear,Multi-Head DL (TABNET),0.3625,0.3180896565814486,0.7292857142857143
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_48k + HUST_Gearbox + HUST + Electric_Motor,Multi-Head DL (TABNET),0.5,0.3839285714285714,0.8475
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_48k + HUST_Gearbox + PU + UORED,Multi-Head DL (TABNET),0.4125,0.34867591424968475,0.75125
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_48k + HUST_Gearbox + PU + Mechanical_Gear,Multi-Head DL (TABNET),0.3375,0.24849759615384615,0.8791071428571429
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_48k + HUST_Gearbox + PU + Electric_Motor,Multi-Head DL (TABNET),0.6125,0.5111019736842105,0.8669642857142857
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_48k + HUST_Gearbox + UORED + Mechanical_Gear,Multi-Head DL (TABNET),0.4,0.3300634550634551,0.8144642857142856
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_48k + HUST_Gearbox + UORED + Electric_Motor,Multi-Head DL (TABNET),0.5375,0.4449148972025615,0.7564285714285715
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_48k + HUST_Gearbox + Mechanical_Gear + Electric_Motor,Multi-Head DL (TABNET),0.5625,0.531710861602166,0.8644642857142857
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_48k + HUST + PU + UORED,Multi-Head DL (TABNET),0.55,0.46961152882205515,0.8655357142857143
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_48k + HUST + PU + Mechanical_Gear,Multi-Head DL (TABNET),0.4375,0.37243589743589745,0.8041071428571429
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_48k + HUST + PU + Electric_Motor,Multi-Head DL (TABNET),0.25,0.16810344827586207,0.6396428571428572
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_48k + HUST + UORED + Mechanical_Gear,Multi-Head DL (TABNET),0.35,0.3016381766381766,0.7783928571428571
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_48k + HUST + UORED + Electric_Motor,Multi-Head DL (TABNET),0.275,0.26529605263157896,0.7180357142857143
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_48k + HUST + Mechanical_Gear + Electric_Motor,Multi-Head DL (TABNET),0.65,0.5911879212196558,0.8516071428571428
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_48k + PU + UORED + Mechanical_Gear,Multi-Head DL (TABNET),0.6875,0.6070893124866138,0.8925
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_48k + PU + UORED + Electric_Motor,Multi-Head DL (TABNET),0.3875,0.3158307210031348,0.791607142857143
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_48k + PU + Mechanical_Gear + Electric_Motor,Multi-Head DL (TABNET),0.375,0.375,0.749642857142857
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_48k + UORED + Mechanical_Gear + Electric_Motor,Multi-Head DL (TABNET),0.625,0.5292933810375671,0.8625
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,HUST_Gearbox + HUST + PU + UORED,Multi-Head DL (TABNET),0.325,0.3382352941176471,0.6405357142857142
