Dataset,Task,Test Condition,Model,Bal Acc,Macro F1,ROC-AUC
CWRU_48k,Diagnosis,Load_2HP_Sev_0.007,Multi-Head DL (TABNET),0.6666666666666666,0.6555555555555556,0.9187500000000001
CWRU_48k,Diagnosis,Load_2HP_Sev_0.014,Random Forest,0.9500000000000001,0.9495622263914947,0.0
CWRU_48k,Diagnosis,Load_2HP_Sev_0.014,SVM (RBF),0.6166666666666667,0.38596491228070173,0.0
CWRU_48k,Diagnosis,Load_2HP_Sev_0.014,Multi-Head DL (MLP),0.4666666666666666,0.39448258326976865,0.6875
CWRU_48k,Diagnosis,Load_2HP_Sev_0.014,Multi-Head DL (TABNET),0.85,0.8412224043189048,0.9583333333333334
CWRU_48k,Diagnosis,Load_2HP_Sev_0.021,Random Forest,1.0,1.0,0.0
CWRU_48k,Diagnosis,Load_2HP_Sev_0.021,SVM (RBF),0.9666666666666667,0.7371794871794872,0.0
CWRU_48k,Diagnosis,Load_2HP_Sev_0.021,Multi-Head DL (MLP),0.9333333333333332,0.9326599326599326,0.9825
CWRU_48k,Diagnosis,Load_2HP_Sev_0.021,Multi-Head DL (TABNET),0.7000000000000001,0.608474683946382,0.9820833333333333
CWRU_48k,Diagnosis,Load_3HP_Sev_0.007,Random Forest,1.0,1.0,0.0
CWRU_48k,Diagnosis,Load_3HP_Sev_0.007,SVM (RBF),0.75,0.38127090301003347,0.0
CWRU_48k,Diagnosis,Load_3HP_Sev_0.007,Multi-Head DL (MLP),0.65,0.6350011268875365,0.8583333333333334
CWRU_48k,Diagnosis,Load_3HP_Sev_0.007,Multi-Head DL (TABNET),0.75,0.7347595734692508,0.8954166666666667
